Abakelia (აბაკელია)
Abashidze (აბაშიძე)
Abazasdze (აბაზასძე)
Abkhazi (აფხაზი)
Abramidze (აბრამიძე)
Abuladze (აბულაძე)
Abuletisdze (აბულეთისძე)
Abuselidze (აბუსელიძე)
Agiashvili (აგიაშვილი)
Akhalkatsi (ახალკაცი)
Akhalaia (ახალაია)
Akhaladze (ახალაძე)
Akhvlediani (ახვლედიანი)
Alasania (ალასანია)
Alavidze (ალავიძე)
Aleksidze (ალექსიძე)
Altunashvili (ალთუნაშვილი)
Amilakhvari (ამილახვარი)
Amirejibi (ამირეჯიბი)
Amiranashvili (ამირანაშვილი)
Amirkhanashvili (ამირხანაშვილი)
Andguladze (ანდღულაძე)
Anchabadze (ანჩაბაძე)
Andriadze (ანდრიაძე)
Andriashvili (ანდრიაშვილი)
Andronikashvili (ანდრონიკაშვილი)
Anjaparidze (ანჯაფარიძე)
Apakidze (აფაქიძე)
Apkhaidze (აფხაიძე)
Arabidze (არაბიძე)
Arakhamia (არახამია)
Arkania (არქანია)
Arveladze (არველაძე)
Arziani (არზიანი)
Asatiani (ასათიანი)
Azirashvili (აზირაშვილი)
Aghoshashvili (აღოშაშვილი)
Aslanishvili (ასლანიშვილი)
Avaliani (ავალიანი)
Avalishvili (ავალიშვილი)
Atanashvili (ათანაშვილი)
B (ბ)
Brokishvili (ბროკიშვილი)
Babadishvili (ბაბადიშვილი)
Bagrationi (ბაგრატიონი)
Bagrationi Davitashvili (ბაგრატიონი დავითაშვილი)
Bagrationi Mukhraneli (ბაგრატიონი მუხრანელი)
Bakhia (ბახია)
Bakhsoliani (ბახსოლიანი)
Bakradze (ბაქრაძე)
Bakuradze (ბაკურაძე)
Balakhadze (ბალახაძე)
Balanchivadze (ბალანჩივაძე)
Balavadze (ბალავაძე)
Bandzeladze (ბანძელაძე)
Baratashvili (ბარათაშვილი)
Barnabishvili (ბარნაბიშვილი)
Batiashvili (ბათიაშვილი)
Benashvili (ბენაშვილი)
Benia (ბენია)
Baghushvili (ბაღუშვილი)
Beridze (ბერიძე)
Bestavashvili (ბესტავაშვილი)
Biniashvili (ბინიაშვილი)
Bochorishvili (ბოჭორიშვილი)
Bokuchava (ბოკუჩავა)
Bolkvadze (ბოლქვაძე)
Botkoveli (ბოტკოველი)
Burchuladze (ბურჭულაძე)
Bobokhidze (ბობოხიძე)
Bukia (ბუკია)
Bukhrashvili (ბუხრაშვილი)
Bitsadze (ბიწაძე)
Basilia (ბასილია)
Beriashvili (ბერიაშვილი)
C (ჩ, ჭ)
Chabukiani (ჭაბუკიანი)
Chachkhiani (ჩაჩხიანი)
Chanturia (ჭანტურია)
Chankseliani (ჩანქსელიანი)
Charkviani (ჩარკვიანი)
Chavchavadze (ჭავჭავაძე)
Cherkezishvili (ჩერქეზიშვილი)
Chiaureli (ჭიაურელი)
Chichua (ჩიჩუა)
Chikovani (ჩიქოვანი)
Chkadua (ჭკადუა)
Chkonia (ჭყონია)
Chkhetidze (ჩხეტიძე)
Cholokashvili (ჩოლოყაშვილი)
Chakhunashvili (ჩახუნაშვილი)
Chkhaidze (ჩხაიძე)
Chkheidze (ჩხეიძე)
Chutkerashvili (ჩუტკერაშვილი)
Chikhladze (ჩიხლაძე)
Chkhaberidze (ჩხაბერიძე)
D (დ)
Dolaberidze (დოლაბერიძე)
Dadiani (დადიანი)
Dadeshkeliani (დადეშქელიანი)
Darchidze (დარჩიძე)
Darsalia (დარსალია)
Davitaia (დავითაია)
Davituliani (დავითულიანი)
Dgebuadze (დგებუაძე)
Diasamidze (დიასამიძე)
Dolidze (დოლიძე)
Donauri (დონაური)
Dongvani (დონღვანი)
Dzhugashvili (ჯუღაშვილი)
E (ე)
Eristavi of Aragvi (არაგვის ერისთავი)
Eristavi of Guria (გურიის ერისთავი)
Eristavi of Racha (რაჭის ერისთავი)
Esadze (ესაძე)
Evgenidze (ევგენიძე)
Eminadze (ემინაძე)
Emiridze (ემირიძე)
G (გ, ღ)
Givradze (გივრაძე)
Gogolauri (გოგოლაური)
